Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
kinase                                ,   30 ,      3.26 ,     152 ,      256 ,"31995605,34311469,34102191,29440302,19393622,24042587,32239379,26685160,12628186,15287743,8601433,25096996,25783682,27930687,12522145,10931916,17537995,17965020,19439179,9409622,23793017,25326457,12037670,19364821,23060074,11713533,12037672,17289077,9499409,19883659,16331689,10329125,9832504,18391197,18060517,19524571,20059949,27821587,22184064,20510931,26305884,32098961,20100936,7588787,8849678,26818658,26991250,29546593,30185885,28468944,26744461,33017189,30858501,30347620,22837305,22757692,11771749,2160982,21164013,21164014,8635664,11279279,33758202,28613156,23781026,12221279,30626720,24618897,21852956,18927152,20095964,16809425,17904530,29581457,28768491,31133884,11181577,19107570,25594180,34040028,28179017,24188528,28975734,34199160,31982271,23076791,20688971,28257485,33361324,32493433,27721687,9651361,16360036,8910362,24027268,29724888,28324005,14640981,12244100,23008267,18222016,17118580,19417104,23184662,24648518,21394738,15378761,15998247,31620020,25555378,23113029,30356767,32708393,18065650,35164288,35817801,12826663,26496923,26880549,19665017,22025680,33492732,30659190,27756895,17890166,21123651,26240280,9442054,10684936,34110282,24954387,11986303,20919932,10535922,12492477,20873783,21850687,20649472,25204677,15956211,15225554,15824112,12622818,16157662,34947982,28068390,22046331,27573699,33553005,23691188,20018887,11971985"
translation                           ,   16 ,      4.39 ,     167 ,      252 ,"19289464,23159739,16903786,17178712,18180367,24965446,25116916,24147004,33916053,21911385,9457675,22118625,33284322,33495278,16244664,16237720,33888601,28975734,35585045,20974809,28632987,23076791,3521891,29235198,31819004,21464306,20074381,25479903,30918062,32906706,16251277,2050125,2095458,7592562,27721687,32039234,12183465,18775702,22967762,19170760,24027268,22933270,31723020,29898807,23008267,18222016,19417104,23001565,24648518,16139798,21394738,16525935,18413715,27138431,18627462,9452424,10095118,10428815,16107839,12692531,15316019,17082187,8422275,12032361,15998247,28685837,22987813,24140707,29433420,22288420,21825280,28267607,18065650,28555368,22059956,33688012,31133003,19862763,35817801,28513600,33492732,7922339,8631310,23321469,21123651,26240280,9442054,10684936,34110282,22912857,35013429,31701124,31197210,25965334,26121143,23315540,15680912,20649472,18271751,10944119,15262146,15371445,15452064,17187778,17213197,17360499,18067580,19379712,22771473,27306458,8253832,8660923,15377278,17707773,18606156,19006180,32882370,11161802,14622290,16519677,1556119,1903841,14675757,16157662,16914118,19120453,19338753,19424157,3119589,8307948,8314769,2540042,15003625,11278418,16600425,18304977,20492553,21173025,21383540,17513484,18633122,24163315,21750984,10611289,34273022,34947982,32605139,32817651,33188200,11976098,23716598,33044977,27098988,31015652,33592076,23604074,22163185,34039408,25240600,33553005,26689807,22834699,23691188,31906144,20018887,30654474,22730406"
eif5a                                 ,    1 ,      0.0  ,      48 ,      250 ,"15262146,15371445,15452064,16987817,17187778,17213197,17360499,18067580,19379712,22771473,27306458,33547280,15377278,17707773,18606156,19006180,32882370,11161802,14622290,16519677,19546244,10229683,14675757,16157662,16215987,16408210,16914118,19120453,19338753,19424157,16600425,18304977,20492553,21383540,18633122,21750984,10611289,34273022,34921595,34947982,32605139,32817651,33188200,33044977,27098988,33592076,22834699,20018887"
brain                                 ,   29 ,      4.94 ,     133 ,      242 ,"34357055,27213757,35563075,19487983,36014946,32272486,16135753,23116197,28433741,26706854,25105228,15846561,20396904,22715480,17670791,7898305,8619954,31969185,25999792,17597530,22986828,33215805,28479339,35681437,21116826,15642345,10913355,16420440,20844742,12438741,31191638,32959027,24731717,9739103,19141675,8798450,9457675,12558975,24284412,9341872,17393485,34810232,22184064,32796722,7588787,26991250,29546593,30185885,30347620,10526337,14656991,18440095,18524908,20036644,17892558,21873424,29476059,22757692,27380244,11771749,2160982,2845422,8635664,17893145,18973346,9653196,11279279,14738879,11906164,10891348,14559359,24908109,22321011,31870285,32918239,26934888,33752971,34040028,32331968,2351831,3670309,6954532,2169566,9039501,18452710,17567946,20003521,24710523,22860605,32183175,31191748,23718750,24188528,19469553,16221301,15901252,33888601,32737368,33731672,31635106,20381070,31168311,35268596,3356687,18575609,23000143,32522152,18973667,22206011,26880549,32111039,33492732,33034629,11336498,16033648,7744952,9674995,34238312,35809345,8554614,21969592,22166015,21850687,29427714,21526488,17360499,18606156,11161802,14622290,27911326,19039140,9111344,20678994"
promoter                              ,   22 ,      3.56 ,     123 ,      241 ,"1989603,1996112,18728160,30928384,14645121,10926781,12710967,15347652,26985665,18385377,17597530,17872382,18056716,24042587,16115867,15383550,12145306,19497851,21723936,35220830,27760456,21503878,18322277,15456894,17239227,25815730,18039846,16499868,31608791,34016745,33905521,9457675,16239143,22966205,15860628,11897684,21507896,19144721,21680841,15576338,22669741,16245309,23060074,17289077,21509660,9499409,33600051,16331689,10364329,10393184,10913173,12065898,12944466,16109376,16109377,9832504,24515107,18391197,30411496,21503958,25594180,35414502,20974809,12056811,20074381,21044876,18929534,21309041,18555711,2050125,2095458,7928952,27235438,28765283,32243451,28811544,19772651,9651361,16360036,8910362,31723020,28324005,10623756,10871379,12244100,15705566,17578910,19377461,20200153,23353889,23629655,28302723,9271389,24250814,33050986,31227231,17118580,10095118,9401119,23450745,20547565,15452137,9710639,19665599,34343541,10574923,11739746,9442054,29945054,22912857,8188254,2656688,8307948,8314769,16600425,32605139,32817651,28592803,22834699,17116691,23508108,9590696,31851938"
oxidative                             ,   21 ,      3.07 ,     140 ,      239 ,"28366030,25209663,12111463,1712754,12792025,36014946,31986467,26298201,34311469,29525604,25116916,35416576,31823891,33726573,19206110,17473173,18502750,21933836,32294980,33600051,28533755,30459560,22757692,31506724,19364667,11940698,32918239,31408947,29540307,34849584,31888678,33240452,35395531,31234227,31635106,28315483,31819004,20074381,26360774,25693797,21498770,33780465,33361324,25418729,28324005,24658151,21909281,15998247,33610896,24140707,29433420,17449658,20003296,33597172,28367141,18065650,26195524,33688012,33920578,32041176,25545414,33513391,19862763,34938367,26861137,25741220,31197210,28367977,34238312,25838379,10731722,21212070,18052930,28391978,35809345,34029576,34130124,25793542,18226547,11904290,23618867,15680912,12059788,12853451,19812042,17163455,12714747,8914536,27239855,10535922,30655626,27082744,17765304,26715182,28953965,21850687,28529127,27393003,21562855,20807727,29518406,28231391,17556052,15099742,19064914,20649472,25204677,25808059,21526488,21871553,17913528,10713147,33889951,23124252,15225554,15824112,23722165,22313238,18538872,16891402,16102003,16134099,15163410,18271751,19106090,24424024,12084836,12529539,9263459,20176891,31654781,14630923,21173025,28068390,32420127,32435206,31031728,33841819,33271965,34976870"
splice                                ,   20 ,      2.87 ,     114 ,      233 ,"15941723,28332713,29580769,36014946,28981788,27302160,26985665,32574681,21159877,31363119,9096311,16641145,11790299,22416126,9393982,9756848,15140795,22966205,8626664,9001221,10653975,10847580,10858305,10931916,11259580,11514619,11525732,11897684,12403470,15590677,16767080,17537995,17965020,19439179,20454556,20932480,21933836,25765647,8045264,8449401,9409622,9848648,21680841,33729478,17393485,22118625,15576338,22215678,22669741,35886974,33476259,33495278,32332923,24523552,23060074,9499409,2160982,14728987,12616398,15975579,2351831,23665500,29530978,28934368,21464306,14643893,11991638,15146077,19325628,25555158,28076346,28502770,33007253,28781166,26743623,10449419,11884590,29146871,32243451,32039234,15575968,23620288,23825951,26173930,8107114,22570411,19170760,28193846,29898807,16162498,11375989,14640981,19592703,20410308,33276377,10976766,28584052,7590226,33517344,10095118,31133003,11707072,21667333,23321469,14731398,35013429,25907681,26121143,11229364,10704594,34039408,31906144,17583703,18248177"
apoptosis                             ,   26 ,      2.99 ,     114 ,      229 ,"29462933,12611891,21695218,19754951,34311469,18695251,27302160,35154294,35474406,33015792,22508046,32549762,31845906,32277752,33215805,32239379,34508305,30535431,30551440,31646562,18158147,32951317,20015864,12628186,15287743,16341127,16818237,18439902,15060138,16499868,30890743,20844742,21049064,15146458,24965446,25116916,33916053,32873862,33726573,21120994,12815282,10728394,19480240,34016745,19206110,33760186,11514619,17537995,20454556,34324523,32332923,12037672,33600051,28409330,26783066,28241067,29557391,25632391,30655546,21503958,12082633,12442332,15983050,32077747,31391270,29540307,33240452,16677835,35414502,33686397,18452710,20883646,20003521,33490244,22860605,24676454,35268596,26840285,33067979,20673990,26823915,29724888,10920196,33610896,24140707,21814176,17449658,26465331,19862763,32196615,33794982,25741220,25929241,28367977,28391163,34130124,11904290,17163455,27082744,21850687,29427714,27393003,20807727,18990192,17913528,33889951,19195412,15371445,15452064,17187778,34921595,32605139,12709428,16148126"
proliferation                         ,   27 ,      3.61 ,     143 ,      228 ,"29462933,1996112,19622630,35303522,35474406,33015792,19414065,30928384,22508046,16611693,29440302,34306176,32549762,32838760,32277752,25999792,19497851,17335796,12895028,21503878,33215805,34508305,30535431,30551440,31646562,29145165,32951317,15287743,29467488,10913355,11162633,16499868,30890743,18306214,25116916,33916053,15649459,23806211,23200852,21120994,16540541,12063187,33760186,10931916,17537995,19439179,32796906,21509660,28409330,24515107,26831658,27666310,30411496,29557391,31355153,31943339,32077747,27380244,25547487,33240452,2915977,7694679,7876104,8257427,16677835,33356743,35414502,33686397,31101113,33918228,26702755,32319572,33349268,30787051,28179017,31781249,35370544,29900121,33888601,24676454,23665500,26581954,24169046,21498770,31021473,29898807,28265575,10629049,12235138,12670868,14532282,15190068,19188440,19377461,19815555,20200153,23629655,24250814,25281006,32522152,33050986,26522729,17560550,31671511,23796209,34486252,22862948,19665017,34491544,35614067,28487382,33794982,31197210,26121143,9388242,34029576,25793542,23796494,11986303,8188254,8496166,7733872,28828729,17913528,15262146,17187778,19379712,15377278,19006180,11161802,14622290,16157662,16215987,15003625,17513484,10611289,34273022,34921595,32605139,33188200,11976098,33592076,12709428"
differentiation                       ,   28 ,      3.49 ,     109 ,      225 ,"12611891,35605315,12819782,19414065,33386644,16611693,17670791,33999993,7743941,16903786,31845906,23145006,25999792,18056716,19393622,19956613,24042587,16115867,12815054,17335796,17027239,12895028,21723936,35220830,26836061,21503878,21937107,18158147,29901112,15456894,29246798,26674964,35681437,35909540,21116826,7937870,21120994,33905521,32210829,18502750,12226107,29967323,32286661,17393485,19253283,25326457,12037670,23060074,12037672,17289077,28409330,16331689,27292648,30185885,34944635,28176357,26515131,14656991,29476059,20218812,22927069,30289745,3500230,3670309,16677835,18754322,20883646,24854554,29900121,23665500,29530978,26581954,31797905,25482442,18555711,33067979,32243451,33174841,25418729,28193846,29898807,28265575,14532282,19377461,18585351,25281006,32522152,15378761,35164288,28036352,28487382,32185676,19766572,11986303,8188254,8496166,27239855,7733872,8089078,17913528,16134099,18791036,18606156,19006180,24163315,33592076,12709428,18248177,18295965"
prx                                   ,    2 ,      1.57 ,      49 ,      224 ,"15998247,10025941,10731722,21212070,18052930,20381631,20144717,25793542,20211754,22450240,18226547,12161445,12853451,15105503,19812042,9497357,17163455,18172504,10998352,11986303,12080185,12714747,16284092,21287625,17974571,17765304,24056278,11677042,19462976,18024958,10704594,21562855,20807727,19932185,17556052,19064914,25808059,34208049,16271889,11795888,15225554,15824112,11784321,19345687,19106090,12529539,20176891,18279387,17031636"
tumor                                 ,   26 ,      3.97 ,     105 ,      214 ,"16135753,19622630,23116197,34102191,35303522,35474406,30797919,30928384,34306176,34559577,32549762,32838760,33215805,32239379,34508305,30551440,31646562,29145165,31638262,33686586,10400610,11360199,11555662,12628186,16341127,18439902,15060138,8601433,10086381,15146458,24965446,25116916,25046226,15210948,12952927,34016745,31576248,33760186,17965020,19439179,25765647,32468006,21734034,28409330,26831658,27666310,29557391,28381877,25632391,16271702,14668352,22837305,14741382,31943339,27380244,25547487,33299887,28768491,22968445,31408947,32545553,31938350,2169566,33686397,19296525,18754322,17567946,26702755,32319572,33349268,30787051,28179017,24704991,32183175,31191748,30988666,33888601,28356383,24676454,35585045,35122182,31694235,27470985,26162278,32296580,29724888,15199122,19188440,19815555,33050986,26522729,24648518,33794982,25793542,11904290,21969592,9497357,17909037,12080185,20873783,19064914,34921595,23263864,11971985,12477726"
